"","WEEK","DEMAND"
"1",1114,17409.97
"2",1115,18351.0674
"3",1116,17423.8476
"4",1117,17213.798
"5",1118,17354.603
"6",1119,18569.6616
"7",1120,18279.581
"8",1121,17066.0254
"9",1122,17289.082
"10",1123,17856.9106
"11",1124,17898.105
"12",1125,16099.4594
"13",1126,15034.8634
"14",1127,17470.1646
"15",1128,18685.8634
"16",1129,13883.6076
"17",1130,17524.5559
"18",1131,17732.4048
"19",1132,16690.7754
"20",1133,15888.766
"21",1134,16707.4658
"22",1135,16672.58
"23",1136,16301.1552
"24",1137,16483.9796
"25",1138,15349.2626
"26",1139,14604.5884
"27",1140,15066.5638
"28",1141,15599.6301
"29",1142,16574.6532
"30",1143,15326.4274
"31",1144,24468.6115
"32",1145,25506.954
"33",1146,24270.9304
"34",1147,18140.7198
"35",1148,17829.4555
"36",1149,16966.1666
"37",1150,18176.9126
"38",1151,17159.6478
"39",1152,16835.8058
"40",1153,18194.0098
"41",1154,17469.1216
"42",1155,16444.3905
"43",1156,16687.081
"44",1157,18074.508
"45",1158,18545.1616
"46",1159,17490.1302
"47",1160,15521.332
"48",1161,20590.0704
"49",1162,21522.1702
"50",1163,21481.1438
"51",1164,20769.7732
"52",1165,12706.5908
"53",1166,16241.6674
"54",1167,17845.0394
"55",1168,17140.4564
"56",1169,18757.018
"57",1170,19477.4505
"58",1171,18923.8019
"59",1172,16294.5382
"60",1173,17650.2094
"61",1174,18683.5824
"62",1175,17493.0282
"63",1176,17806.8102
"64",1177,17625.61
"65",1178,16834.2774
"66",1179,15453.7114
"67",1180,18438.9944
"68",1181,16433.5254
"69",1182,17576.2232
"70",1183,18111.8034
"71",1184,19032.1346
"72",1185,16568.9816
"73",1186,17940.7788
"74",1187,18071.9328
"75",1188,19040.8704
"76",1189,18307.6942
"77",1190,12842.02
"78",1191,15766.2778
"79",1192,12476.7734
"80",1193,14066.4658
"81",1194,14297.61
"82",1195,15929.545
"83",1196,14667.9446
"84",1197,24816.957
"85",1198,22851.7218
"86",1199,25453.6026
"87",1200,18125.0328
"88",1201,15363.7454
"89",1202,15950.9634
"90",1203,15331.7931
"91",1204,14819.4271
"92",1205,16980.7555
"93",1206,16903.7562
"94",1207,16487.7685
"95",1208,16238.1622
"96",1209,16997.2297
"97",1210,17970.2412
"98",1211,17924.0816
"99",1212,17724.5043
"100",1213,15190.8746
"101",1214,18625.165
"102",1215,22407.8423
"103",1216,21684.9133
"104",1217,14771.3558
"105",1218,13224.505
"106",1219,17190.2773
"107",1220,18106.9392
"108",1221,17884.143
"109",1222,17472.9356
"110",1223,19510.0734
"111",1224,20633.5499
"112",1225,17397.5907
"113",1226,16653.2741
"114",1227,21724.0819
"115",1228,19867.3826
"116",1229,19207.3263
"117",1230,17689.4716
"118",1231,18176.5089
"119",1232,18752.3827
"120",1233,20086.8606
"121",1234,15308.0789
"122",1235,19492.9685
"123",1236,19471.7592
"124",1237,20290.8779
"125",1238,21340.3917
"126",1239,19139.0647
"127",1240,23008.3122
"128",1241,19341.7558
"129",1242,20290.6617
"130",1243,20127.876
"131",1244,17800.1259
"132",1245,17728.131
"133",1246,18733.3136
"134",1247,18472.7429
"135",1248,23488.4959
"136",1249,21304.396
"137",1250,20358.8197
"138",1251,35792.5233
"139",1252,30879.4123
"140",1253,25578.9064
"141",1254,20767.902
"142",1255,18723.129
"143",1256,18262.7606
"144",1257,20573.619
"145",1258,20296.7931
"146",1259,21050.3605
"147",1260,19692.2805
"148",1261,19572.5798
"149",1262,17435.509
"150",1263,20615.621
"151",1264,20607.5884
"152",1265,20235.3675
"153",1266,25546.3152
"154",1267,23390.144
"155",1268,24468.464
"156",1269,18318.0486
"157",1270,16156.0299
"158",1271,20464.413
"159",1272,17991.0908
"160",1273,21264.1204
"161",1274,21311.8771
"162",1275,20786.3706
"163",1276,19514.4854
"164",1277,21348.6937
"165",1278,22425.3015
"166",1279,20291.3354
"167",1280,19940.165
"168",1281,21052.1636
"169",1282,22549.9487
"170",1283,21062.9219
"171",1284,20178.9298
"172",1285,21289.5407
"173",1286,19370.7828
"174",1287,20686.583
"175",1288,20526.648
"176",1289,21403.5249
"177",1290,21120.256
"178",1291,21695.6717
"179",1292,20048.5099
"180",1293,20322.05
"181",1294,20045.416
"182",1295,18057.7237
"183",1296,19968.027
"184",1297,21305.4924
"185",1298,25364.7312
"186",1299,19830.898
"187",1300,18964.3139
"188",1301,20077.9021
"189",1302,32162.2316
"190",1303,37160.52
"191",1304,27406.9371
"192",1305,22333.9766
"193",1306,20658.5612
"194",1307,20206.5286
"195",1308,18107.4916
"196",1309,24068.5023
"197",1310,21419.22
"198",1311,23318.638
"199",1312,20208.3233
"200",1313,20582.2761
"201",1314,20731.8991
"202",1315,21667.2703
"203",1316,22971.8795
"204",1317,17953.296
"205",1318,23952.2089
"206",1319,25708.523
"207",1320,25004.1392
"208",1321,18111.0942
"209",1322,18056.8203
"210",1323,21469.5034
"211",1324,22330.2866
"212",1325,24536.139
"213",1326,21612.7224
"214",1327,21072.9253
"215",1328,21988.1776
"216",1329,21054.2948
"217",1330,22522.814
"218",1331,26371.4906
"219",1332,22558.189
"220",1333,20876.4692
"221",1334,18842.7676
"222",1335,17890.2358
"223",1336,21222.0593
"224",1337,22990.4769
"225",1338,21596.4598
"226",1339,22546.8105
"227",1340,25376.083
"228",1341,22975.3257
"229",1342,22205.786
"230",1343,20335.2379
"231",1344,19543.1521
"232",1345,19933.7232
"233",1346,21513.4511
"234",1347,20095.4997
"235",1348,21042.434
"236",1349,21189.9308
"237",1350,21366.6652
"238",1351,22343.3891
"239",1352,19962.4126
"240",1353,20675.9767
"241",1354,37458.1733
"242",1355,41824.1939
"243",1356,27563.5848
"244",1357,24474.8906
"245",1358,22098.3151
"246",1359,21014.1709
"247",1360,20345.9644
"248",1361,21193.6206
"249",1362,22828.574
"250",1363,21376.6096
"251",1364,21081.7701
"252",1365,19937.4141
"253",1366,20798.8856
"254",1367,21960.1457
"255",1368,22639.2953
"256",1369,20001.3367
"257",1370,24878.6868
"258",1371,27253.1376
"259",1372,27016.772
"260",1373,22635.7834
"261",1374,17752.544
"262",1375,20808.0184
"263",1376,22013.0117
"264",1377,22148.4653
"265",1378,24934.0446
"266",1379,22076.8196
"267",1380,22004.2247
"268",1381,22227.1734
"269",1382,23530.3039
"270",1383,25665.2922
"271",1384,22118.905
"272",1385,22615.8795
"273",1386,22777.3983
"274",1387,24362.8609
"275",1388,25881.2539
"276",1389,21361.133
"277",1390,20331.9019
"278",1391,21791.3879
"279",1392,22460.4394
