"","Dtotal"
"1",84681.6428571429
"2",77273.2142857143
"3",82164.75
"4",81799.3392857143
"5",75190.5892857143
"6",74080.0357142857
"7",84610.7857142857
"8",113408.160714286
"9",82159.4821428571
"10",79338.5892857143
"11",86365.0178571429
"12",91287.5714285714
"13",88151.125
"14",77515.0357142857
"15",98965.5357142857
"16",75466.0892857143
"17",78276
"18",87414.5731142857
"19",65768.8506
"20",114206.1858
"21",74102.424
"22",76671.9624571429
"23",79972.6053142857
"24",86888.0256571429
"25",76783.9890857143
"26",73895.7059
"27",84353.9142142857
"28",79192.9811428571
"29",78125.2441285714
"30",100621.459714286
"31",70864.2016142857
"32",111019.516671429
"33",89273.2293571429
"34",73948.6062857143
"35",77423.7835571429
"36",85339.9193285714
"37",90224.7081428571
"38",77529.9640285714
"39",111705.077014286
"40",96427.1289571428
"41",94082.7674
"42",92757.2972142857
"43",79861.5458571429
"44",138014.698957143
"45",87527.3883571429
"46",92718.3542428571
"47",89078.3392428571
"48",95435.7083142857
"49",118134.3818
"50",87272.7149571429
"51",86021.3755142857
"52",88610.6530142857
"53",95416.3281285714
"54",90786.0219857143
"55",82971.7210428571
"56",150166.573171429
"57",93106.5458714286
"58",90470.1916
"59",78130.9092857143
"60",96758.4387714286
"61",118609.491028571
"62",83997.4907571428
"63",86436.6947285714
"64",79044.2250857143
"65",93687.0183714286
"66",79311.6612857143
"67",78362.1403
"68",133464.437657143
"69",85516.7008285714
"70",105812.982728571
"71",78196.4268714286
"72",94499.9495571429
"73",116609.871785714
"74",84683.5410571429
"75",108026.991071429
"76",85509.9846142857
"77",105225.9976
"78",86709.4809714286
"79",96478.0893857143
"80",152982.948542857
"81",112115.164671429
"82",105363.375828571
"83",122147.678371429
"84",122304.086357143
"85",125747.199257143
"86",84722.5051857143
"87",77444.2903857143
"88",83723.5356142857
"89",85891.8478857143
"90",84607.1560142857
"91",110461.619128571
"92",94331.5880714286
"93",136233.163914286
"94",96973.4165428571
"95",77628.2610428571
"96",77496.5064571429
"97",99683.2721571429
"98",74395.6243428571
"99",98138.4167857143
"100",91160.8395857143
"101",85621.3913714286
"102",90596.1893571429
"103",116208.0441
"104",129818.102857143
"105",82550.7908571429
"106",87301.5384857143
"107",84849.9738142857
"108",102440.8668
"109",137550.239428571
"110",80561.4274
"111",113793.327542857
"112",91029.1704857143
"113",86429.9782
"114",86545.6860714286
"115",79903.6440285714
"116",99195.7160142857
"117",74877.8354142857
"118",79562.6074428571
"119",66331.6276
"120",66736.234
"121",101693.901728571
"122",71084.3377714286
"123",100656.521328571
"124",74416.6792857143
"125",68019.8355428571
"126",74257.8877
"127",54971.1126428571
"128",89702.7322
"129",80597.5797142857
"130",68432.3747
"131",61614.4571714286
"132",45469.5931857143
