"","WEEK","DEMAND","PRICE","FA","FAplus","FB","D1","D2","PR1"
"1",1114,4218.875,2.08360048591153,0,0,0,111.75,0,13.5
"2",1115,4564.75,1.96731913029191,0,0,1089,190.25,0,1102.125
"3",1116,4708.125,2.11357812292579,0,0,0,55.125,57.375,4.5
"4",1117,4308.25,2.07934544188476,0,0,0,36,0,1.125
"5",1118,4206.5,2.07517175799358,0,0,0,32.625,0,28.125
"6",1119,4344.875,2.05515003308496,0,0,0,83.625,0,95.75
"7",1120,5090.625,2.03050705954573,265.5,0,180,381.75,0,660.375
"8",1121,5116.25,2.07920058636697,0,0,11.25,89.625,0,334.125
"9",1122,5478.75,2.07866392881588,0,0,166.25,262.125,182,394.125
"10",1123,5020.75,2.04956231638699,0,0,747.25,217.25,0,626
"11",1124,5036.25,1.96264085380988,0,0,1136.75,66.375,6.75,1362
"12",1125,4593.75,2.06578285714286,0,0,103.25,109.875,0,213.125
"13",1126,3981.75,2.07247315878697,0,0,0,0,0,48
"14",1127,6035.375,1.81647039330613,0,0,1761.75,0,61.875,2322
"15",1128,5833.375,2.02483296547882,0,0,0,0,75.375,1011
"16",1129,3745.125,2.03306164680752,252.75,0,0,287.625,0,435
"17",1130,5009.625,1.97547321406293,1381.5,0,0,84.375,0,1334.25
"18",1131,5235.125,1.9514471956257,1636.875,0,0,101.25,42.75,1872.5
"19",1132,4661.5,2.0646337015982,0,0,0,31.5,54,367.125
"20",1133,3892.875,2.04333044343833,0,0,0,0,54,341
"21",1134,4351.375,2.05685329349918,0,0,0,0,0,79.875
"22",1135,5295.125,1.98808337857935,0,0,1396.875,171,0,1597.125
"23",1136,5017,2.08338249950169,0,0,0,131.625,0,553.5
"24",1137,4752.5,1.92820410310363,952.125,0,0,384.75,167.625,1279.875
"25",1138,4794.5,1.88005422880384,0,0,1166.625,201.375,0,1787.25
"26",1139,4239.875,2.08255667914738,0,0,0,69.75,0,182.625
"27",1140,4030.125,2.071886107751,0,0,0,0,0,46.125
"28",1141,3398.75,2.09099227657227,0,0,0,0,0,0
"29",1142,3641,2.07771765998352,0,0,0,0,0,6.75
"30",1143,3776.25,2.08198874544853,0,0,0,18,27,8.25
"31",1144,13977.5,2.1244585941692,423,0,0,2758.5,3541.5,2212.125
"32",1145,15054.125,1.09286856592462,12334.5,0,0,3850.875,2916,12388.5
"33",1146,14533.5,2.07909863418997,56.25,0,1077.75,3438,3132,3892.5
"34",1147,7355.125,1.93024047857786,0,0,1901.25,547.875,946.125,3256.5
"35",1148,4877.125,1.99510572314632,0,0,0,79.875,285.75,877.5
"36",1149,4067.5,2.02419176398279,0,0,0,37.125,66.375,387.5
"37",1150,4709.5,2.00575432636161,273.375,0,0,149.625,29.25,581.625
"38",1151,4932.625,1.94826284179316,476.75,0,1060.5,25.875,393.75,1686.5
"39",1152,4848,2.05231848184818,6.75,0,0,2.25,142.375,508.25
"40",1153,4303.5,2.04770303241548,4.5,0,0,15.75,23.625,305.375
"41",1154,4320.75,2.06935138575479,0,0,0,32.625,0,156
"42",1155,4371.875,2.03401057898499,0,0,0,15.75,0,456.75
"43",1156,4705.25,2.02539291217257,0,0,561.375,103.5,118.125,663.75
"44",1157,4709.25,2.030745872485,0,0,0,0,60.75,625.5
"45",1158,5789.75,1.94657282266074,0,0,1715.25,0,0,1867.125
"46",1159,4720.5,2.10328778731067,0,0,0,0,0,264.375
"47",1160,4195,2.00490584028605,354.375,0,0,0,0,699.125
"48",1161,6821,1.79139862190295,2088,0,0,339.75,389.25,3370.625
"49",1162,6847.625,1.86819225643928,617.625,0,747.25,324,0,3643.125
"50",1163,5381.375,1.99821049452974,24.75,0,0,13.5,0,1040.125
"51",1164,4873.375,2.02410854900351,13.5,0,0,9,0,568.625
"52",1165,3214.5,2.04803235339866,18,0,0,0,0,356.75
"53",1166,3786.25,2.04421261142291,0,0,0,0,0,473.25
"54",1167,4298.625,2.00000930530111,0,0,0,0,200.25,836.5
"55",1168,4723.625,2.00023498901797,0,0,0,0,0,555.75
"56",1169,6354.5,1.96499016445039,1028.25,0,1090.125,1200.375,202.5,2113.75
"57",1170,5937.5,1.87344673684211,0,0,536.625,83.25,298.125,2397.25
"58",1171,6539.875,1.97437259886466,0,0,2390.25,112.5,184.5,1723.5
"59",1172,4649.375,2.07156015593494,0,0,0,6.75,0,466.875
"60",1173,4335.75,2.06660208729747,0,0,0,0,0,50.625
"61",1174,4594.5,2.08116225922298,0,0,0,0,0,42.75
"62",1175,4253.75,2.0310243902439,0,0,451.5,117.25,63,484.75
"63",1176,4745,2.03605900948367,0,0,152.25,133,257.25,554.75
"64",1177,5445.5,2.03472041134882,0,0,714,89.25,0,978.125
"65",1178,5425.875,2.0569991015274,0,0,2013.75,0,0,835.25
"66",1179,4400.5,2.07122372457675,0,0,0,10.125,70.875,456.75
"67",1180,5735.125,1.81697173121772,1222.875,0,0,254.25,286.875,1943.25
"68",1181,4947.5,1.90194845881758,0,0,0,0,210.375,1311
"69",1182,5487.5,2.11005193621868,0,0,2128.5,203.625,252,270.75
"70",1183,5451.125,2.11512119057993,0,0,254.25,37.125,0,189
"71",1184,5401,1.9849268653953,0,0,796.5,11.25,0,957
"72",1185,4071.5,2.10834581849441,0,0,0,1.125,7.875,117.875
"73",1186,5146.625,2.04296213537998,0,0,1377.25,6.75,0,1114
"74",1187,4382.75,2.05179624664879,0,0,0,0,0,1231.5
"75",1188,7774.5,1.59259630844427,3546,0,441,379.125,1534.5,4946.5
"76",1189,6765.5,1.68210627448082,0,0,0,0,0,3414.375
"77",1190,3270.125,2.12045716906846,0,0,0,127.125,0,131.625
"78",1191,4364.6624,2.04476524919774,0,0,1054.125,0,442.125,1103.25
"79",1192,3452.625,2.03717171717172,0,0,825.75,0,288,825.75
"80",1193,3417.7062,2.09592913516089,0,0,0,2.2062,0,577.875
"81",1194,3435,2.14163609898108,0,0,0,0,0,291.25
"82",1195,3403.2062,2.13896237024956,0,0,0,71.9562,25.875,390.25
"83",1196,4022.8558,2.10073649669471,0,342,0,53.6058,117,839.9936
"84",1197,15148.7746,1.95317910400489,12259.125,0,0,2319.3996,6123.375,11040.6496
"85",1198,14698.4936,1.90000286832115,11665.125,0,1145.25,1457.9562,4671,11009.8686
"86",1199,14710.5,1.13139050338194,8831.25,0,3780,1734.75,3172.5,12958.5
"87",1200,7678.25,1.52893693224368,5004.25,0,0,500.625,690.75,5172.75
"88",1201,5214.625,1.79241843852626,0,0,0,212.625,77.625,2173.5
"89",1202,4715.0812,1.95933211075983,0,0,163.125,60.75,103.5,1427.625
"90",1203,3928.75,2.12242061724467,0,0,0,123.75,63,150
"91",1204,3817.7062,2.14684409187905,0,0,0,13.5,10.125,284.625
"92",1205,5024.5812,2.06473128546514,0,0,1045.125,0,493.875,1243.875
"93",1206,5183.125,2.05969371759315,0,0,0,108,83.25,1278
"94",1207,4233,2.08877628159698,0,0,0,13.5,0,743.625
"95",1208,4138.625,2.14902534054185,0,0,0,14.625,10.125,180.75
